featureid	Intercept	grp[T.grp2]
OTU_97.31247	1.1482731601895075	0.18209272251037323
OTU_97.44487	-0.4126531579791326	-0.17871815338226593
OTU_97.34979	-0.8239176967440871	0.5609686337461817
OTU_97.34572	-0.016318629056097933	0.16460400820282572
OTU_97.42259	1.3830921104849558	0.25091542676595324
OTU_97.34698	0.5570663115681382	-0.5264828838357571
OTU_97.34087	-0.4199299314318914	0.3907484374990817
OTU_97.22697	-0.8945296504794387	0.6913719140043604
OTU_97.42301	0.08440034601104074	0.43771591410545074
OTU_97.34787	-1.073091337948921	0.3764377348175403
OTU_97.44950	0.4904150268734675	0.33004235849288666
OTU_97.119	1.5884381136597376	0.6019800268164035
OTU_97.103	-0.26709217813599384	-1.0300595201501492
OTU_97.13113	-0.4026097753344793	-1.5063988603601102
OTU_97.21594	0.4176558754147264	-1.7626648582467679
OTU_97.21561	-0.01929206636536307	-0.3161093033799771
OTU_97.37277	-0.3590427139102239	0.2913498617759105
OTU_97.42114	0.321220924586175	0.22309768945482933
OTU_97.20802	-0.4541890123187322	0.20534997061399096
OTU_97.34571	-0.1484307744799871	0.2825983651032802
OTU_97.35058	1.4801762005985948	0.1705393251082059
OTU_97.34173	-0.2335316636859197	0.4765878878584262
OTU_97.42356	3.973308255404351	0.13181343302634918
OTU_97.35347	0.39881764861952984	0.2280602678707
OTU_97.33840	-0.32543666151154227	0.5472004376402255
OTU_97.42482	2.2191683551968318	0.29658447579053604
OTU_97.42074	1.690948297709343	0.434131231164014
OTU_97.44994	1.244823706776021	0.16623306274918281
OTU_97.37453	-0.04075832155335135	0.2573191486349451
OTU_97.42457	2.304654409617303	0.46886324510482424
OTU_97.52	-0.8954842784701613	-0.8356016315469388
OTU_97.43685	1.0782068869770738	0.3902717791548129
OTU_97.38230	-0.3316665389834661	0.24323242158201897
OTU_97.43549	-0.4228394725619573	0.12311787158755028
OTU_97.43162	-1.2665408351718215	0.5135206244936343
OTU_97.32873	-0.8695770004092482	0.33576856181529724
OTU_97.43147	2.302460362643121	0.08725568280128204
OTU_97.39651	-0.4883473613559026	0.27450765297321045
OTU_97.40646	1.911346783369897	0.05882207677272433
OTU_97.24645	0.49161892148864084	0.2653406970253336
OTU_97.37186	-1.8018489578067092	0.6242814622869837
OTU_97.38443	0.7792726955116969	-0.7380492724427832
OTU_97.43240	-0.6803098419009475	0.5323278568735477
OTU_97.29249	-1.6692672469912795	0.45616647229102725
OTU_97.5096	-1.44434458997834	0.8089284263601657
OTU_97.21369	-0.23034615305054373	0.2424391508152839
OTU_97.81	1.475250591963647	-0.1360202468881262
OTU_97.35745	-0.7239248254596022	-0.23393512144180661
OTU_97.6871	0.37597375127684884	-0.3913484848985318
OTU_97.20326	-0.8870793083010939	-0.6555147804269446
OTU_97.30684	-1.0143743255435256	-0.05844222381206787
OTU_97.28630	-0.2900586822329778	0.12558840960768425
OTU_97.14242	0.054989983767388395	0.6077791117182123
OTU_97.214	0.1260506412686091	-1.5167560018548611
OTU_97.202	0.6121201417149287	0.4250576160898554
OTU_97.37932	0.049374630183098844	-0.3587191142091397
OTU_97.17117	-1.0843489864169387	0.004009645437275111
OTU_97.27156	-0.6156495311557082	-0.7905089296350134
OTU_97.30381	-0.4962619045077581	-0.2721216119775418
OTU_97.40123	-0.5896316268740911	-1.8871533311853055
OTU_97.341	0.7312974831761103	-2.3832232393273953
OTU_97.7035	-0.9049823978244094	-0.35562968626114255
OTU_97.27773	0.467330624789116	-0.06562668457123166
OTU_97.186	1.8985392949284297	0.06884816661981308
OTU_97.5397	-0.4404112794696111	0.3540004454603549
OTU_97.16755	-1.2007051208316115	-0.012694153929675878
OTU_97.32756	-1.9162009456454543	0.8026322089186069
OTU_97.35794	0.44643913719069683	0.4277842305651065
OTU_97.43658	-0.4237961271106023	0.16274202056733245
OTU_97.19244	-0.5983483293353338	-0.0072204656848562365
OTU_97.43676	2.2194005748928767	-0.20795700326057798
OTU_97.29641	1.888404955595849	0.3437212072363254
OTU_97.36734	-1.2698667743502883	0.3215116523256656
OTU_97.1072	-1.321400950223091	0.7861728034963962
OTU_97.31	1.1517057849300327	0.5481613539209711
OTU_97.31235	-0.5556095340548772	0.3092791549911853
OTU_97.31079	-0.9056750037966994	-0.46720946207138425
OTU_97.30180	1.2866597822607737	0.3216411881199237
OTU_97.14702	-0.8634803989230422	-0.8119174279222134
OTU_97.43326	0.17212360116851144	-0.1255711056241644
OTU_97.9796	-0.39399976518738455	-0.7847562469491605
OTU_97.24695	0.9656311473549586	0.0033232532492037947
OTU_97.40289	-0.16477901723969168	0.3750227801552173
OTU_97.32063	-0.04384643819916523	0.6742685399999964
OTU_97.36643	0.8271611830891343	0.8837491832723972
OTU_97.37689	0.7005062899292689	0.3504255972853061
OTU_97.36487	-0.04234571245301044	0.47317438945678436
OTU_97.40138	-0.6548789241610793	0.8391655646314975
OTU_97.39156	-1.3592243888675002	0.7036803923597681
OTU_97.24871	-1.3013318279086379	0.14604128525165283
OTU_97.3496	-1.6367729404269484	0.44165658578780853
OTU_97.38634	-0.7378667095004348	0.12233612686899775
OTU_97.9318	-0.24737734583008475	0.5089529119482386
OTU_97.17605	1.1347243296654206	0.1383930891802665
OTU_97.22802	-0.8338150480090407	0.027959074830090636
OTU_97.37040	0.05957775327575021	0.7199941836347925
OTU_97.13159	-0.6721592643557814	0.21369843557981216
OTU_97.2118	0.470784654349206	-0.4573649801263455
OTU_97.37104	0.5205470225514146	-0.03971223905178345
OTU_97.16819	1.1838103360236865	-1.2073718942651395
OTU_97.7636	0.8728980025948267	-0.5337800420770291
OTU_97.8517	-0.8694530227481154	-0.20980090274902707
OTU_97.33436	-0.10757345941651053	-0.3984789885530118
OTU_97.30904	0.41540830346953683	-0.5161603726396216
OTU_97.31136	-0.18664486196625418	-0.22680506482216156
OTU_97.43810	-0.3132564523516912	-0.4698537625321997
OTU_97.4527	-0.46216828611481375	-0.26478425040336884
OTU_97.656	-0.7429615953265456	-0.17160502448173798
OTU_97.39511	0.46406131002318673	-0.5471579469689969
OTU_97.36847	-1.0643141963778762	0.16246468760577404
OTU_97.37130	-0.49555785444367206	0.12717685476449692
OTU_97.16741	-0.28127152708161063	-0.5342716015824927
