#OTU ID	700023057	700023179	700023299	700023389	700023503	700023597	700023652	700023814	700023985	700024034	700024252	700024348	700024699	700024916	700024965	700037041	700037133	700037246	700038120	700038402	700038751	700038864	700038912	700103288	700103497	700105106	700105163	700105410	700105476	700105630	700105676	700105790	700105892	700105932	700105982	700106075	700106405	700114381	700021140	700021293	700021890	700023232	700023445	700023549	700023699	700023870	700023933	700024095	700024146	700024199	700024305	700024410	700024458	700024554	700024602	700024644	700024749	700024796	700024863	700037696	700038352	700038491	700038587	700038965	700103572	700105047	700106347	700106502	700106560	700106710	700106866	700106939	700113022	700113064	700114009	700114338
OTU_97.31247	11	0	12	0	0	3	3	0	2	3	0	0	0	1	0	2	0	2	3	0	4	0	1	8	0	0	0	25	0	0	0	8	26	0	0	0	4	0	0	0	6	1	0	2	0	7	0	0	1	6	0	0	0	0	12	0	0	2	1	0	0	0	2	11	1	0	0	8	8	0	0	10	3	0	0	8
OTU_97.44487	6	0	0	0	0	2	2	0	3	1	0	0	0	0	0	0	0	2	5	0	6	0	0	7	0	0	0	1	0	0	0	8	26	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	4	2	0	0	16	12	0	0	7	3	4	0	6
OTU_97.34979	0	0	4	0	1	1	0	0	0	0	0	0	3	0	1	0	2	2	1	0	2	1	0	0	0	3	2	0	20	0	0	0	1	0	0	0	2	0	0	3	0	0	1	2	8	0	12	2	0	0	4	0	4	5	2	3	8	4	4	0	1	0	2	7	1	4	0	1	1	2	1	4	0	0	0	0
OTU_97.34572	39	0	35	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	6	1	1	5	1	0	0	1	2	1	0	3	4	0	3	0	1	0	0	0	1	0	2	1	2	0	2	2	6	0	15	0	1	1	0	2	1	8	2	2	1	0	16	19	0	1	5	3	1	2	0	21	8	2	7	4
OTU_97.42259	114	8	76	4	1	0	3	1	1	5	0	2	6	4	1	0	4	6	2	1	22	1	1	20	2	9	34	10	29	9	11	11	15	0	20	8	6	0	5	6	7	12	8	9	21	17	29	67	5	1	7	2	26	24	10	3	5	5	9	17	4	5	39	21	70	11	15	3	11	10	12	25	33	8	14	6
OTU_97.34698	62	2	16	0	0	2	5	0	1	1	0	0	0	2	0	0	0	11	0	0	8	2	1	12	0	0	0	17	0	0	15	7	8	0	0	0	11	0	1	0	2	0	0	2	0	29	0	1	0	2	1	1	0	0	5	0	0	0	1	0	0	1	31	6	3	0	1	0	4	0	0	7	2	3	15	3
OTU_97.34087	3	3	9	1	1	0	1	1	0	3	0	0	1	1	1	0	1	0	1	0	3	0	0	14	4	0	3	1	6	0	0	1	3	0	5	2	6	0	2	1	0	5	1	3	5	2	1	2	3	0	3	0	2	13	2	2	0	0	1	4	0	0	4	6	6	2	2	3	2	0	1	25	4	1	7	1
OTU_97.22697	0	1	3	0	0	0	0	0	0	1	0	0	6	1	1	0	0	0	0	1	4	1	0	1	0	4	1	0	12	0	1	0	0	1	3	0	1	0	0	1	0	0	2	2	6	0	2	2	2	0	1	0	6	11	0	1	2	2	4	2	3	0	6	16	2	3	4	0	0	3	2	3	4	0	2	2
OTU_97.42301	5	11	17	9	2	1	5	0	1	3	0	0	10	1	2	2	2	0	0	0	9	0	1	3	9	6	1	8	5	1	0	1	0	0	3	1	2	1	0	3	2	12	9	9	31	6	2	3	2	0	13	2	5	15	8	2	8	4	0	7	5	5	10	12	3	1	2	1	0	3	0	5	5	3	4	1
OTU_97.34787	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	10	1	0	1	0	0	4	0	0	3	0	6	0	2	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	4	3	3	0	3	1	1	0	0	12	15	4	1	1
